stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\Debug\allegro5.cfg r
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00000] Also searching C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00064] Also searching C:\Users\thall\Desktop\JogoAllegro5\Birigui\mini_game_surf\x64\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00700] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00719] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.03201] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.14532] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.14809] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.15094] al_display=00000221A9449990
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.15277] al_display->vt=00000221A94497E0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17557] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.17901] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18604] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.20316] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.20595] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.20708] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20844] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.21125] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.21325] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.21449] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.21541] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.21643] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.21740] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.21829] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.21942] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.21986] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.22116] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.22317] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.22502] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.22558] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.22799] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.22898] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.23013] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.23116] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.23252] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.23401] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.23547] Score is : 721
